time,AHTTemperatureSensor,IRSensor,UVSensor
2024-04-08 13:51:26-04:00,32.4,65535,4.2
2024-04-08 13:51:27-04:00,32.4,65535,4.2
2024-04-08 13:51:28-04:00,32.4,65535,4.2
2024-04-08 13:51:29-04:00,32.5,65535,4.2
2024-04-08 13:51:30-04:00,32.6,65535,4.2
2024-04-08 13:51:31-04:00,32.6,65535,4.2
2024-04-08 13:51:32-04:00,32.5,65535,4.2
2024-04-08 13:51:33-04:00,32.5,65535,4.2
2024-04-08 13:51:34-04:00,32.5,65535,4.1
2024-04-08 13:51:35-04:00,32.6,65535,4.2
2024-04-08 13:51:36-04:00,32.7,65535,4.1
2024-04-08 13:51:37-04:00,32.6,65535,4.2
2024-04-08 13:51:38-04:00,32.5,65535,4.1
2024-04-08 13:51:39-04:00,32.5,65535,4.1
2024-04-08 13:51:40-04:00,32.5,65535,4.1
2024-04-08 13:51:41-04:00,32.4,65535,4.1
2024-04-08 13:51:42-04:00,32.3,65535,4.1
2024-04-08 13:51:43-04:00,32.4,65535,4.1
2024-04-08 13:51:44-04:00,32.4,65535,4
2024-04-08 13:51:45-04:00,32.4,65535,3.5
2024-04-08 13:51:46-04:00,32.2,23444,1.4
2024-04-08 13:51:47-04:00,32,29078,1.5
2024-04-08 13:51:48-04:00,31.9,29419,1.5
2024-04-08 13:51:49-04:00,31.7,29059,1.5
2024-04-08 13:51:50-04:00,31.7,29059,1.8
2024-04-08 13:51:51-04:00,31.6,49036.5,3.8
2024-04-08 13:51:52-04:00,31.8,65535,3.8
2024-04-08 13:51:53-04:00,31.9,65535,3.8
2024-04-08 13:51:54-04:00,32,65535,3.8
2024-04-08 13:51:55-04:00,32,65535,3.8
2024-04-08 13:51:56-04:00,32,65535,3.8
2024-04-08 13:51:57-04:00,32,65535,3.8
2024-04-08 13:51:58-04:00,31.9,65535,3.8
2024-04-08 13:51:59-04:00,31.8,65535,3.8
2024-04-08 13:52:00-04:00,31.7,65535,3.7
2024-04-08 13:52:01-04:00,31.6,32879,1.8
2024-04-08 13:52:02-04:00,31.7,65535,3.8
2024-04-08 13:52:03-04:00,31.8,65535,3.8
2024-04-08 13:52:04-04:00,31.9,65535,3.8
2024-04-08 13:52:05-04:00,31.9,65535,3.9
2024-04-08 13:52:06-04:00,32,65535,3.9
2024-04-08 13:52:07-04:00,32.1,65535,3.9
2024-04-08 13:52:08-04:00,32.1,65535,3.9
2024-04-08 13:52:09-04:00,32.1,65535,3.9
2024-04-08 13:52:10-04:00,32.2,65535,4
2024-04-08 13:52:11-04:00,32.3,65535,3.9
2024-04-08 13:52:12-04:00,32.2,65535,3.9
2024-04-08 13:52:13-04:00,32.2,65535,4
2024-04-08 13:52:14-04:00,32.2,65535,3.9
2024-04-08 13:52:15-04:00,32.2,65535,3.9
2024-04-08 13:52:16-04:00,32.2,65535,3.9
2024-04-08 13:52:17-04:00,32.2,65535,3.9
2024-04-08 13:52:18-04:00,32.3,65535,4
2024-04-08 13:52:19-04:00,32.4,65535,4
2024-04-08 13:52:20-04:00,32.4,65535,3.9
2024-04-08 13:52:21-04:00,32.4,65535,3.9
2024-04-08 13:52:22-04:00,32.3,65535,3.9
2024-04-08 13:52:23-04:00,32.3,65535,4
2024-04-08 13:52:24-04:00,32.3,65535,4
2024-04-08 13:52:25-04:00,32.5,65535,3.9
2024-04-08 13:52:26-04:00,32.5,65535,4
2024-04-08 13:52:27-04:00,32.4,65535,3.9
2024-04-08 13:52:28-04:00,32.3,65535,4
2024-04-08 13:52:29-04:00,32.2,65535,3.9
2024-04-08 13:52:30-04:00,32.2,65535,3.9
2024-04-08 13:52:31-04:00,32.2,65535,3.9
2024-04-08 13:52:32-04:00,32.2,65535,3.9
2024-04-08 13:52:33-04:00,32.2,65535,3.9
2024-04-08 13:52:34-04:00,32.1,65535,4
2024-04-08 13:52:35-04:00,32.1,65535,3.9
2024-04-08 13:52:36-04:00,32.1,65535,3.9
2024-04-08 13:52:37-04:00,32,65535,3.9
2024-04-08 13:52:38-04:00,32,65535,3.9
2024-04-08 13:52:39-04:00,32,65535,3.9
2024-04-08 13:52:40-04:00,32,65535,3.9
2024-04-08 13:52:41-04:00,32,65535,3.9
2024-04-08 13:52:42-04:00,31.9,65535,3.9
2024-04-08 13:52:43-04:00,31.9,65535,4
2024-04-08 13:52:44-04:00,31.8,65535,3.9
2024-04-08 13:52:45-04:00,31.9,65535,3.9
2024-04-08 13:52:46-04:00,31.9,65535,3.9
2024-04-08 13:52:47-04:00,31.9,65535,3.9
2024-04-08 13:52:48-04:00,32.1,65535,3.9
2024-04-08 13:52:49-04:00,32.2,65535,3.9
2024-04-08 13:52:50-04:00,32.2,65535,4
2024-04-08 13:52:52-04:00,32.2,65535,3.9
2024-04-08 13:52:53-04:00,32.2,65535,3.9
2024-04-08 13:52:54-04:00,32.1,65535,1.8
2024-04-08 13:52:55-04:00,31.8,25915,1.5
2024-04-08 13:52:56-04:00,31.6,24477,1.6
2024-04-08 13:52:57-04:00,31.4,28855,1.7
2024-04-08 13:52:58-04:00,31.4,33484,1.9
2024-04-08 13:52:59-04:00,31.4,65535,2.9
2024-04-08 13:53:00-04:00,31.3,65535,3.7
2024-04-08 13:53:01-04:00,31.3,65535,3.4
2024-04-08 13:53:02-04:00,31.4,65535,2.7
2024-04-08 13:53:03-04:00,31.2,52833,2.7
2024-04-08 13:53:04-04:00,31,26341,1.5
2024-04-08 13:53:05-04:00,30.8,25228,1.5
2024-04-08 13:53:06-04:00,30.6,65535,3.5
2024-04-08 13:53:07-04:00,30.5,36653,2
2024-04-08 13:53:08-04:00,30.5,44185,2
2024-04-08 13:53:09-04:00,30.5,65535,2
2024-04-08 13:53:10-04:00,30.4,65535,2
2024-04-08 13:53:11-04:00,30.4,37810,1.9
2024-04-08 13:53:12-04:00,30.3,36915,1.9
2024-04-08 13:53:13-04:00,30.3,36915,1.9
2024-04-08 13:53:14-04:00,30.1,37096,1.9
2024-04-08 13:53:15-04:00,30.1,39521,1.9
2024-04-08 13:53:16-04:00,30,40656,1.9
2024-04-08 13:53:17-04:00,30,65535,3.2
2024-04-08 13:53:18-04:00,29.9,65535,3.8
2024-04-08 13:53:19-04:00,29.9,65535,4
2024-04-08 13:53:20-04:00,30,65535,4
2024-04-08 13:53:21-04:00,30,65535,4
2024-04-08 13:53:22-04:00,30.1,65535,4
2024-04-08 13:53:23-04:00,30.2,65535,4
2024-04-08 13:53:24-04:00,30.4,65535,4
2024-04-08 13:53:25-04:00,30.4,65535,4
2024-04-08 13:53:26-04:00,30.3,65535,4.1
2024-04-08 13:53:27-04:00,30.5,65535,4
2024-04-08 13:53:28-04:00,30.6,65535,4
